Year	Age	Australia	Austria	Belgium	Bulgaria	Canada	Croatia	CzechRepublic	Denmark	EnglandandWales	Finland	France	Germany	Greece	Hungary	Italy	Lithuania	Netherlands	NewZealand	Norway	Poland	Portugal	Scotland	Slovakia	Slovenia	SouthKorea	Spain	Sweden	Switzerland	Taiwan	USA
19	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
19	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
20	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
20	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
20	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
20	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
21	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
21	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
21	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
21	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
22	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
22	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
22	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
22	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
23	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
23	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
23	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
23	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
24	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
24	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
24	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
24	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
25	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
25	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
25	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
25	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
26	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
26	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
26	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
26	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
27	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
27	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
27	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
27	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
28	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
28	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
28	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
28	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
29	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
29	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
29	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
29	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
30	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
30	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
30	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
30	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
31	1	303233.5531	111752.9373	140575.173	90897.86092	465657.7524	53685.5245	134854.0017	70353.45245	715939.3399	66832.27611	777945.1765	1032778.967	134068.5573	127590.6236	744003.5448	37165.70083	213041.9838	58171.60175	65617.21018	514011.8244	129844.8992	67994.92086	73501.94337	26604.71322	716489.1188	592123.3839	118646.9419	107126.861	333790.179	4077506.653
31	2	38607.78663	16200.93479	19930.42606	16206.56707	62726.82133	8152.544872	22509.05743	12144.0641	108378.5755	12066.67746	118582.9157	161127.896	21184.30333	19720.37465	125383.81	5323.515769	33744.82576	7464.409776	9285.799715	63166.88462	20848.76759	10493.15795	8888.88648	3811.798077	74752.16994	82510.1155	20962.78428	15317.96127	30926.36551	528062.13
31	3	20746.33936	10304.0924	13773.17458	9292.946535	32961.50975	5765.784263	10548.33848	6043.863685	64136.27833	6609.645756	77013.44438	127842.6814	16703.52564	11040.38804	91996.64795	3958.761987	18154.92325	3894.263013	4762.104464	38593.71474	14765.69281	6188.485962	4553.509615	2533.13141	41297.61314	57606.35866	11234.3221	9243.955045	17970.49311	265683.5486
31	4	8806.509231	4170.372783	5668.023782	2445.790769	14127.04148	1466.121378	3563.729287	2270.28249	26390.65538	2636.764874	37983.68686	41734.39897	6240.055769	3517.783846	37548.21557	1259.726859	6725.995821	1513.617853	2218.025641	13177.72167	5682.272739	2233.71766	1407.781314	859.2280449	9891.892885	25270.80024	4946.079553	3895.649862	6242.794872	111865.7458
